CRESTRON - DEALER PRICE LIST - 10th January 2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
293,"In-Wall Keypad, Cresnet, Anthracite",6504984,CLWI-KPLCN-ANTH,21840,182,236.6,0.18000000000001,364,,,,,,,,
294,"In-Wall Keypad, Cresnet, White",6504985,CLWI-KPLCN-W,21840,182,236.6,0.18000000000001,364,,,,,,,,
295,"In-Wall Wireless Keypad, 230VAC Line Powered, Anthracite",6504986,CLWI-KPLEX-ANTH,18240,152,197.6,0.18000000000001,304,,,,,,,,
296,"On-Wall Wireless Lighting Keypad, Battery Powered, Anthracite",6504987,CLWI-KPLEX-BATT-ANTH,21840,182,236.6,0.18000000000001,364,,,,,,,,
297,"On-Wall Wireless Lighting Keypad, Battery Powered, White",6504988,CLWI-KPLEX-BATT-W,21840,182,236.6,0.18000000000001,364,,,,,,,,
298,"In-Wall Wireless Keypad, 230VAC Line Powered, White",6504989,CLWI-KPLEX-W,18240,152,197.6,0.18000000000001,304,,,,,,,,
299,"In-Wall Switch, 230VAC, Anthracite",6504990,CLWI-SWEX-ANTH,21840,182,236.6,0.18000000000001,364,,,,,,,,
300,"In-Wall Switch, 230VAC, White",6504991,CLWI-SWEX-W,21840,182,236.6,0.18000000000001,364,,,,,,,,
301,"8 Channel Universal Dimmer Module, 2 Feeds, 120V",6510757,CLX-2DIMU8,94440,787,1023.1,0.18000000000001,1574,,,,,,,,
302,"4 Channel Motor Control Module, Single Feed - International Version, 230V",6500177,CLXI-1MC4,21840,182,236.6,0.18000000000001,364,,Not in Pricelist,,,,,,
303,"2 Channel Dimmer Module, 2 Feeds - International Version, 230V",6500178,CLXI-2DIM2,50880,424,551.2,0.18000000000001,848,,,,,,,,
304,4 Wire to RJ11 Cresnet Converter,6500072,CNRJ11,11040,92,119.6,0.18000000000001,184,,,,,,,,
305,Cresnet® Distribution Block,6500279,CNTBLOCK,12480,104,135.2,0.18000000000001,208,,,,,,,,
306,Cresnet® Hub,6500461,CNXHUB,108960,908,1180.4,0.18000000000001,1816,,,,,,,,
307,"Rack Mount Kit for up to 3 C2N-HBLOCK and CNPWS-75, 2U",6500602,CNXRMAK,11040,92,119.6,0.18000000000001,184,,,,,,,,
308,4-Series™ Control System,6511816,CP4,145200,1210,1573,0.18000000000001,2420,,,,,,,,
309,4-Series™ Control System,6511817,CP4N,203280,1694,2202.2,0.18000000000001,3388,,,,,,,,
310,4-Series™ Control Processor for Crestron Home® OS,6512254,CP4-R,130680,1089,1415.7,0.18000000000001,2178,,,,,,,,
311,"CresFiber® 8G Multimode Fiber Optic Cable, 50/125 x4 breakout, plenum, 1000 ft spool
 [Limited Supply]",6505329,CRESFIBER8G-P-SP1000,174240,1452,1887.6,0.180000000000011,2904,,,,,,,,
312,"Connectors for CresFiber® 8G Single-Mode Fiber Optic Cable, LC, 12-Pack
 [Limited Supply]",6505668,CRESFIBER8G-SM-CONN-LC-12,34920,291,378.3,0.180000000000011,582,,,,,,,,
313,"Connectors for CresFiber® 8G Multimode Fiber Optic Cable, SC 50µm, 12-Pack
 [Limited Supply]",6503955,CRESFIBER-CONN-SC50UM-12,41520,346,449.8,0.180000000000011,692,,,,,,,,
314,"CresFiber® Simplex Fiber Optic Cable Assembly, 50/125, SC, Plenum, 12 ft
 [Limited Supply]",6503542,CRESFIBER-SINGLE-SC-P-12,2280,19,24.7,0.180000000000011,38,,,,,,,,
315,"CresFiber® Simplex Fiber Optic Cable Assembly, 50/125, SC, Plenum, 6 ft
 [Limited Supply]",6503541,CRESFIBER-SINGLE-SC-P-6,2040,17,22.1,0.180000000000011,34,,,,,,,,
316,"CresFiber® Termination Kit (AFL Telecommunications®)
 [Limited Supply]",6503954,CRESFIBER-TK,424800,3540,4602,0.180000000000011,7080,,,,,,,,
317,"Cresnet® “High-Power” Control Cable, Non-Plenum, Teal, 1000 ft (304 m) spool",6500492,CRESNET-HP-NP-TL-SP1000,123480,1029,1337.7,0.180000000000011,2058,,,,,,,,
318,"Cresnet® Control Cable, Non-Plenum, Black, 500 ft (152 m) box",6500494,CRESNET-NP-BK-B500,18240,152,197.6,0.180000000000011,304,,,,,,,,
319,"Cresnet® Control Cable, Non-Plenum, Teal, 1000 ft (304 m) spool",6500794,CRESNET-NP-TL-SP1000,36360,303,393.9,0.180000000000011,606,,,,,,,,
320,"Cresnet® Control Cable, Non-Plenum, White, 500 ft (152 m) spool",6508327,CRESNET-NP-WH-SP500,18240,152,197.6,0.180000000000011,304,,,,,,,,
321,"Cresnet® Control Cable, Plenum-Rated, Black, 500 ft (152 m) spool",6500184,CRESNET-P-BK-SP500,32760,273,354.9,0.180000000000011,546,,,,,,,,
322,"Cresnet® Control Cable, Plenum-Rated, Teal, 1000 ft (304 m) spool",6500941,CRESNET-P-TL-SP1000,65400,545,708.5,0.180000000000011,1090,,,,,,,,
323,"Power Pack for CSM-QMTDC Series Motors, 24 VDC, 40 W, International",6510781,CSAI-PWS40,#VALUE!,,#VALUE!,0.180000000000011,,,,,,,,,
324,Crestron® Shade Fabric Book Collection,6509988,CSF-FABRIC-COLLECTION,79200,660,858,0.180000000000011,1320,,,,,,,,
325,Crestron® Shade Fabric Sample Decks,6512369,CSF-FABRIC-COLLECTION-DECK-01,33000,275,357.5,0.180000000000011,550,,,,,,,,
326,Crestron® Horizontal Sheers Fabric Sample Binder,6509987,CSF-FABRIC-COLLECTION-HSHEER,7320,61,79.3,0.180000000000011,122,,,,,,,,
327,IR Learner,6501813,CSP-LIR-USB,14520,121,157.3,0.180000000000011,242,,,,,,,,
328,Digital Graphics Engine 100,6507101,DGE-100,145200,1210,1573,0.180000000000011,2420,,,,,,,,
329,Digital Graphics Engine 1000,6513076,DGE-1000,198000,1650,2145,0.180000000000011,3300,,,,,,,,
330,"4 Channel Dimmer, 1 Feed, DIN Rail Mount",6502358,DIN-1DIM4,44400,370,481,0.180000000000011,740,,,,,,,,
331,"4 Channel Universal Dimmer, 1 Feed, DIN Rail Mount",6501748,DIN-1DIMU4,87120,726,943.8,0.180000000000011,1452,,,,,,,,
332,"8-Zone Radiant Heat Thermostat, DIN Rail Mount",6508087,DIN-1TSTAT8,50880,424,551.2,0.180000000000011,848,,,,,,,,
333,"2 Channel RGBW LED Dimmer, DIN Rail Mount",6508086,DIN-2LEDPWM8,47280,394,512.2,0.180000000000011,788,,,,,,,,
334,"DIN Rail Motor Control, 2 feeds, 2 channels",6501745,DIN-2MC2,18240,152,197.6,0.180000000000011,304,,,,,,,,
335,"4 Channel 0-10V Dimmer, 4 Feeds, DIN Rail Mount",6501749,DIN-4DIMFLV4,42960,358,465.4,0.180000000000011,716,,,,,,,,
336,DIN Rail High-Voltage Switch with Digital Inputs,6503776,DIN-8SW8-I,21120,176,228.8,0.180000000000011,352,,,,,,,,
337,DIN Rail Analog Output Module,6501743,DIN-AO8,46560,388,504.4,0.180000000000011,776,,,,,,,,
338,4-Series™ DIN Rail Control System,6510417,DIN-AP4,108960,908,1180.4,0.180000000000011,1816,,,,,,,,
339,4-Series™ DIN Rail Control System for Crestron Home® OS,6512607,DIN-AP4-R,99000,825,1072.5,0.180000000000011,1650,,,,,,,,
340,DIN Rail Cresnet Distribution Block,6501750,DIN-BLOCK,11040,92,119.6,0.180000000000011,184,,,,,,,,
341,Ethernet to Cresnet® Network Bridge with PoE,6507140,DIN-CENCN-2-POE,40080,334,434.2,0.180000000000011,668,,,,,,,,
342,DIN Rail 2-Channel DALI® Interface,6503777,DIN-DALI-2,58080,484,629.2,0.180000000000012,968,,Not in Pricelist,,,,,,
343,"Enclosure for DIN Rail Devices, 2 DIN Rails, 18 M Wide",6505323,DIN-EN-2X18,20400,170,221,0.180000000000012,340,,,,,,,,
344,DIN Rail Enclosure with 2 DIN Rails and 2 Cover Openings,6511042,DIN-EN-2X18-HC-2OPEN,21840,182,236.6,0.180000000000012,364,,,,,,,,
345,"Enclosure for DIN Rail Devices, 3 DIN Rails, 18 M Wide",6505324,DIN-EN-3X18,36360,303,393.9,0.180000000000012,606,,,,,,,,
346,"Enclosure for DIN Rail Devices, 6 DIN Rails, 18 M Wide",6505325,DIN-EN-6X18,58080,484,629.2,0.180000000000012,968,,,,,,,,
347,DIN Rail Enclosure with 6 DIN Rails and 5 Cover Openings,6511044,DIN-EN-6X18-HC-5OPEN,63960,533,692.9,0.180000000000012,1066,,,,,,,,
348,DIN Rail Cresnet Distribution Hub,6501751,DIN-HUB,21840,182,236.6,0.180000000000012,364,,,,,,,,
349,DIN Rail Versiport Module,6501744,DIN-IO8,27000,225,292.5,0.180000000000012,450,,,,,,,,
350,"KNX Secure IP Gateway, DIN Rail Mount",6513017,DIN-KXI,37680,314,408.2,0.180000000000012,628,,,,,,,,
351,DIN Rail Redundancy Module,6508951,DIN-PWR-RD,29040,242,314.6,0.180000000000012,484,,,,,,,,
352,"DIN Rail 30 Watt Cresnet Power Supply, 277V",6505260,DIN-PWS30-277,13080,109,141.7,0.180000000000012,218,,,,,,,,
353,DIN Rail 60 Watt Cresnet® Power Supply,6507733,DIN-PWS60,15360,128,166.4,0.180000000000012,256,,,,,,,,
354,ENTTEC DIN ETHERGATE – Ethernet to DMX Converter,6508214,DIN-SACN-DMX,87120,726,943.8,0.180000000000012,1452,,,,,,,,
355,"Heating, Cooling, and Relative Humidity Thermostat, DIN Rail Mount",6509627,DIN-THSTAT,36360,303,393.9,0.180000000000012,606,,,,,,,,
356,DIN Rail Heating & Cooling Fan-Coil Thermostat,6508159,DIN-TSTAT-FCU,43560,363,471.9,0.180000000000012,726,,,,,,,,
357,"Connectors with Wire Guide for DM-CBL-8G DigitalMedia 8G™ Cable, 100-Pack
 [Limited Supply]",6506749,DM-8G-CONN-WG-100,36360,303,393.9,0.180000000000012,606,,,,,,,,
358,"Crimping Tool for DM-8G-CONN-WG
 [Limited Supply]",6506750,DM-8G-CRIMP-WG,8760,73,94.9,0.180000000000012,146,,,,,,,,
359,"Starter Package including DM-8G-CRIMP-WG Crimping Tool and 100-Pack of DM-8G-CONN-WG Connectors
 [Limited Supply]",6506829,DM-8G-CRIMP-WG-STARTER_PAK,40080,334,434.2,0.180000000000012,668,,,,,,,,
360,"DigitalMedia 8G+® 4K60 4:4:4 HDR Input Card for DM® Switchers, HDBaseT® Compatible
 [Limited Supply]",6508072,DMC-4KZ-C,79920,666,865.8,0.180000000000012,1332,,,,,,,,
361,"DigitalMedia 8G+® 4K60 4:4:4 HDR Input Card w/Downmixing for DM® Switchers, HDBaseT® Compatible
 [Limited Supply]",6508073,DMC-4KZ-C-DSP,94440,787,1023.1,0.180000000000012,1574,,,,,,,,
362,"2-Channel DigitalMedia 8G+® 4K60 4:4:4 HDR Output Card for DM® Switchers
 [Limited Supply]",6508074,DMC-4KZ-CO-HD,99240,827,1075.1,0.180000000000012,1654,,,,,,,,
363,"HDMI® 4K60 4:4:4 HDR Input Card for DM® Switchers
 [Limited Supply]",6508070,DMC-4KZ-HD,58080,484,629.2,0.180000000000012,968,,,,,,,,
364,"HDMI® 4K60 4:4:4 HDR Input Card w/Downmixing for DM® Switchers
 [Limited Supply]",6508071,DMC-4KZ-HD-DSP,72600,605,786.5,0.180000000000012,1210,,,,,,,,
365,"2-Channel HDMI® 4K60 4:4:4 HDR Scaling Output Card for DM® Switchers
 [Limited Supply]",6508075,DMC-4KZ-HDO,130680,1089,1415.7,0.180000000000012,2178,,,,,,,,
366,"DigitalMedia 8G™ Cable, non-plenum, 500 ft spool
 [Limited Supply]",6504396,DM-CBL-8G-NP-SP500,26160,218,283.4,0.180000000000012,436,,,,,,,,
367,"DigitalMedia 8G™ Cable, plenum, 1000 ft spool
 [Limited Supply]",6506541,DM-CBL-8G-P-SP1000,87120,726,943.8,0.180000000000012,1452,,,,,,,,
368,"DigitalMedia 8G™ Cable, plenum, 500 ft spool
 [Limited Supply]",6504397,DM-CBL-8G-P-SP500,43560,363,471.9,0.180000000000012,726,,,,,,,,
369,"DigitalMedia™ Ultra Cable, Non-Plenum Type CMR, 1000 ft spool",6507339,DM-CBL-ULTRA-NP-SP1000,69720,581,755.3,0.180000000000012,1162,,,,,,,,
370,"DigitalMedia™ Ultra Cable, Non-Plenum Type CMR, 500 ft spool",6507338,DM-CBL-ULTRA-NP-SP500,34920,291,378.3,0.180000000000012,582,,,,,,,,
371,"DigitalMedia™ Ultra Cable, Plenum Type CMP, Black, 1000 ft spool",6509816,DM-CBL-ULTRA-P-B-SP1000,290400,2420,3146,0.180000000000013,4840,,,,,,,,
372,"DigitalMedia™ Ultra Patch Cable, 1.5 ft (0.45 m)",6507645,DM-CBL-ULTRA-PC-1.5,2280,19,24.7,0.180000000000013,38,,,,,,,,
373,"DigitalMedia™ Ultra Patch Cable, 10 ft (3 m)",6507638,DM-CBL-ULTRA-PC-10,3960,33,42.9,0.180000000000013,66,,,,,,,,
374,"DigitalMedia™ Ultra Patch Cable, 15 ft (4.5 m)",6507639,DM-CBL-ULTRA-PC-15,4440,37,48.1,0.180000000000013,74,,,,,,,,
375,"DigitalMedia™ Ultra Patch Cable, 20 ft (6 m)",6507640,DM-CBL-ULTRA-PC-20,5160,43,55.9,0.180000000000013,86,,,,,,,,
376,"DigitalMedia™ Ultra Patch Cable, 3 ft (0.9 m)",6507646,DM-CBL-ULTRA-PC-3,2640,22,28.6,0.180000000000013,44,,,,,,,,
377,"DigitalMedia™ Ultra Patch Cable, 5 ft (1.5 m)",6507636,DM-CBL-ULTRA-PC-5,3240,27,35.1,0.180000000000013,54,,,,,,,,
378,"DigitalMedia™ Ultra Patch Cable, 50 ft (15 m)",6507641,DM-CBL-ULTRA-PC-50,7320,61,79.3,0.180000000000013,122,,,,,,,,
379,"DigitalMedia™ Ultra Patch Cable, 7 ft (2.1 m)",6507637,DM-CBL-ULTRA-PC-7,3600,30,39,0.180000000000013,60,,,,,,,,
380,"DigitalMedia™ Ultra Cable, Plenum Type CMP, 1000 ft spool",6507337,DM-CBL-ULTRA-P-SP1000,290400,2420,3146,0.180000000000013,4840,,,,,,,,
381,"DigitalMedia™ Ultra Cable, Plenum Type CMP, 500 ft spool",6507336,DM-CBL-ULTRA-P-SP500,145200,1210,1573,0.180000000000013,2420,,,,,,,,
382,"CPU Card for 8X8, 16X16, and 32X32 DigitalMedia™ Switchers
 [Limited Supply]",6507303,DMC-CPU3,72600,605,786.5,0.180000000000013,1210,,,,,,,,
383,"2-Channel HDMI® Output Card for DM® Switchers
 [Limited Supply]",6507169,DMC-HDO,50880,424,551.2,0.180000000000013,848,,,,,,,,
384,"DigitalMedia™ Card Interface
 [Limited Supply]",6503172,DMCI,29040,242,314.6,0.180000000000013,484,,,,,,,,
385,"Connectors for DigitalMedia™ Ultra Cables, 20 Pack",6511276,DM-CONN-ULTRA-PLUG-20,37800,315,409.5,0.180000000000013,630,,,,,,,,
386,"DigitalMedia™ Ultra Keystone RJ-45 Jack, 20-Pack w/Termination Tool",6507958,DM-CONN-ULTRA-RECP-20,36360,303,393.9,0.180000000000013,606,,,,,,,,
387,"DigitalMedia™ Ultra Keystone RJ45 Jack, 50-Pack w/Termination Tool",6507644,DM-CONN-ULTRA-RECP-50,87120,726,943.8,0.180000000000013,1452,,Not in Pricelist,,,,,,
388,"45-Degree Angled Connectors for DigitalMedia™ Ultra Cables, 20 Pack",6511277,DM-CONN-ULTRA-RECP-XA-20,37800,315,409.5,0.180000000000013,630,,,,,,,,
389,Termination Tool for DM-CONN-ULTRA-PLUG-20,6511278,DM-CRIMP-ULTRA-PLUG,1920,16,20.8,0.180000000000013,32,,,,,,,,
390,Termination Tool for DM-CONN-ULTRA-RECP-XA-20,6511279,DM-CRIMP-ULTRA-RECP-XA,1920,16,20.8,0.180000000000013,32,,,,,,,,
391,"DigitalMedia 8G™ Fiber Input Card for DM® Switchers
 [Limited Supply]",6504321,DMC-S,125280,1044,1357.2,0.180000000000013,2088,,,,,,,,
392,"3G-SDI Input Card for DM® Switchers
 [Limited Supply]",6502685,DMC-SDI,87120,726,943.8,0.180000000000013,1452,,,,,,,,
393,"DigitalMedia 8G™ Fiber Input Card w/Downmixing for DM® Switchers
 [Limited Supply]",6504322,DMC-S-DSP,123480,1029,1337.7,0.180000000000013,2058,,,,,,,,
394,"2-Channel DigitalMedia 8G™ Fiber Output Card for DM® Switchers
 [Limited Supply]",6507170,DMC-SO-HD,130680,1089,1415.7,0.180000000000013,2178,,,,,,,,
395,"Streaming Input Card for DM® Switchers
 [Limited Supply]",6506921,DMC-STR,108960,908,1180.4,0.180000000000013,1816,,Not in Pricelist,,,,,,
396,"Streaming Output Card for DM® Switchers
 [Limited Supply]",6507173,DMC-STRO,217800,1815,2359.5,0.180000000000013,3630,,,,,,,,
397,"VGA/Video Input Card for DM® Switchers
 [Limited Supply]",6505387,DMC-VGA,72600,605,786.5,0.180000000000013,1210,,,,,,,,
398,"Quad Video Input Card for DM® Switchers
 [Limited Supply]",6502669,DMC-VID4,47280,394,512.2,0.180000000000013,788,,,,,,,,
399,"BNC Analog Video Input Card for DM® Switchers
 [Limited Supply]",6502670,DMC-VID-BNC,58080,484,629.2,0.180000000000013,968,,,,,,,,
400,"RCA Analog Video Input Card w/Analog Audio for DM® Switchers
 [Limited Supply]",6502671,DMC-VID-RCA-A,47280,394,512.2,0.180000000000013,788,,,,,,,,
401,"RCA Analog Video Input Card w/SPDIF Audio for DM® Switchers
 [Limited Supply]",6502672,DMC-VID-RCA-D,47280,394,512.2,0.180000000000014,788,,,,,,,,
402,1:4 4K HDMI® to DM 8G+® & HDBaseT® Splitter,6507981,DM-DA4-4K-C,196080,1634,2124.2,0.180000000000014,3268,,,,,,,,
403,Digital Graphics Engine 200 with 4K DM 8G+® Input,6507102,DM-DGE-200-C,198000,1650,2145,0.180000000000014,3300,2025-04-01 00:00:00,,,,,,,
404,4K 2x1 DM® Essentials Scaling Auto-Switcher and Extender over CATx Cable,6513860,DM-EXT-1021 KIT,122760,1023,1329.9,0.180000000000014,2046,,,,,,,,
405,"4K 2x1 DM® Essentials Scaling Auto-Switcher and Wall Plate Extender over CATx Cable, Black",6513861,DM-EXT-1021-1G-B KIT,126720,1056,1372.8,0.180000000000014,2112,,,,,,,,
406,"4K 2x1 DM® Essentials Scaling Auto-Switcher and Wall Plate Extender over CATx Cable, White",6513862,DM-EXT-1021-1G-W KIT,126720,1056,1372.8,0.180000000000014,2112,,,,,,,,
407,"4K60 4:4:4 DM® Essentials Transmitter Receiver Pair for USB-C® DisplayPort™, USB 2.0, and Ethernet Signal Extension over CATx Cable",6513863,DM-EXT-2011 KIT,112200,935,1215.5,0.180000000000014,1870,,,,,,,,
408,"4K60 4:4:4 DM® Essentials Transmitter Receiver Pair for USB-C® DisplayPort™, and USB 2.0 Signal Extension over CATx Cable, Wall Plate, Black",6513864,DM-EXT-2011-2G-B KIT,112200,935,1215.5,0.180000000000014,1870,,,,,,,,
409,"4K60 4:4:4 DM® Essentials Transmitter Receiver Pair for USB-C® DisplayPort™, and USB 2.0 Signal Extension over CATx Cable, Wall Plate, White",6513865,DM-EXT-2011-2G-W KIT,112200,935,1215.5,0.180000000000014,1870,,,,,,,,
410,"4K60 4:4:4 DM® Essentials Receiver and 2x2 Auto-Switcher for, HDMI, USB-C® DisplayPort™, and USB 2.0 Signal Extension over CATx Cable",6513866,DM-EXT-2022 KIT,191400,1595,2073.5,0.180000000000014,3190,,,,,,,,
411,"DigitalMedia™ Card Chassis for DM-NVX-C & DMCF, 8 Slots",6507968,DMF-CI-8,145200,1210,1573,0.180000000000014,2420,,,,,,,,
412,"16x16 DigitalMedia™ Switcher
 [Limited Supply]",6509618,DM-MD16X16-CPU3,718080,5984,7779.2,0.180000000000014,11968,,,,,,,,
413,"16x16 DigitalMedia™ Switcher with Redundant Power Supplies
 [Limited Supply]",6509621,DM-MD16X16-CPU3-RPS,818280,6819,8864.7,0.180000000000014,13638,,,,,,,,
414,"32x32 DigitalMedia™ Switcher
 [Limited Supply]",6509619,DM-MD32X32-CPU3,1248720,10406,13527.8,0.180000000000014,20812,,,,,,,,
415,"32x32 DigitalMedia™ Switcher with Redundant Power Supplies
 [Limited Supply]",6509622,DM-MD32X32-CPU3-RPS,1335840,11132,14471.6,0.180000000000014,22264,,,,,,,,
416,"8x8 DigitalMedia™ Switcher
 [Limited Supply]",6509617,DM-MD8X8-CPU3,312240,2602,3382.6,0.180000000000014,5204,,,,,,,,
417,"8x8 DigitalMedia™ Switcher with Redundant Power Supplies
 [Limited Supply]",6509620,DM-MD8X8-CPU3-RPS,399360,3328,4326.4,0.180000000000014,6656,,,,,,,,
418,DM NAX™ Audio-over-IP Network Encoder with 16 Stereo Inputs,6510879,DM-NAX-16AIN,174240,1452,1887.6,0.180000000000014,2904,,,,,,,,
419,"DM NAX® Audio-over-IP Wall Plate with XLR, Black, 1-Gang",6511971,DM-NAX-2XLRI-1G,56760,473,614.9,0.180000000000014,946,,,,,,,,
420,DM NAX® 4+1 Zone Streaming Amplifier,6512320,DM-NAX-4ZSA-50,198000,1650,2145,0.180000000000014,3300,,,,,,,,
421,DM NAX™ 4-Zone Streaming Preamplifier,6512319,DM-NAX-4ZSP,174240,1452,1887.6,0.180000000000014,2904,,,,,,,,
422,DM NAX™ 8-Zone Streaming Amplifier,6510878,DM-NAX-8ZSA,435600,3630,4719,0.180000000000014,7260,,,,,,,,
423,"DM NAX® X-Series Flexible Output Amplifier, 300 W",6511766,DM-NAX-AMP-X300,125400,1045,1358.5,0.180000000000014,2090,,,,,,,,
424,DM NAX® Audio-over-IP Converter with Balanced/Unbalanced Line-Level Audio Input and Output,6511966,DM-NAX-AUD-IO,52800,440,572,0.180000000000014,880,,,,,,,,
425,DM NAX® Audio-over-IP Converter with USB-C® Audio Input and Output,6511967,DM-NAX-AUD-USB,52800,440,572,0.180000000000014,880,,,,,,,,
426,"DM NAX® Audio-over-IP Wall Plate with Bluetooth® Audio Support, Analog Audio Input and Output, 1-Gang",6511970,DM-NAX-BTIO-1G,62760,523,679.9,0.180000000000014,1046,,,,,,,,
427,DM NAX® 8K Smart Display Controller and Network Audio Encoder/Decoder with eARC Support,6512316,DM-NAX-XSP,112200,935,1215.5,0.180000000000014,1870,,,,,,,,
428,"DM NUX USB over Network with Routing, Local",6511319,DM-NUX-L2,43560,363,471.9,0.180000000000014,726,,,,,,,,
429,"DM NUX USB over Network Wall Plate with Routing, Local, Black",6512571,DM-NUX-L2-1G-B,61800,515,669.5,0.180000000000014,1030,,,,,,,,
430,"DM NUX USB over Network Wall Plate with Routing, Local, White",6512570,DM-NUX-L2-1G-W,61800,515,669.5,0.180000000000015,1030,,,,,,,,
431,"DM NUX USB over Network with Routing, Remote",6511320,DM-NUX-R2,43560,363,471.9,0.180000000000015,726,,,,,,,,
432,"DM NUX USB over Network Wall Plate with Routing, Remote, Black",6512573,DM-NUX-R2-1G-B,61800,515,669.5,0.180000000000015,1030,,,,,,,,
433,"DM NUX USB over Network Wall Plate with Routing, Remote, White",6512572,DM-NUX-R2-1G-W,61800,515,669.5,0.180000000000015,1030,,,,,,,,
434,DM NVX® 4K60 4:4:4 HDR Network AV Encoder/Decoder with Downmixing,6507493,DM-NVX-351,167040,1392,1809.6,0.180000000000015,2784,,Not in Pricelist,,,,,,
435,DM NVX® 4K60 4:4:4 HDR Network AV Encoder/Decoder Card with Downmixing,6508250,DM-NVX-351C,145200,1210,1573,0.180000000000015,2420,,,,,,,,
436,DM NVX® 4K60 4:4:4 HDR Network AV Encoder/Decoder,6511006,DM-NVX-360,150360,1253,1628.9,0.180000000000015,2506,,,,,,,,
437,DM NVX® 4K60 4:4:4 HDR Network AV Encoder/Decoder Card,6511007,DM-NVX-360C,130680,1089,1415.7,0.180000000000015,2178,,,,,,,,
438,DM NVX® 4K60 4:4:4 HDR Network AV Encoder/Decoder with Downmixing and Dante® Audio,6511008,DM-NVX-363,183000,1525,1982.5,0.180000000000015,3050,,,,,,,,
439,DM NVX® 4K60 4:4:4 HDR Network AV Encoder/Decoder Card with Downmixing and Dante® Audio,6511009,DM-NVX-363C,174240,1452,1887.6,0.180000000000015,2904,,,,,,,,
440,DM NVX® 5K 4x1 AV-over-IP Switcher with HDMI® and USB-C® Connectivity,6513012,DM-NVX-384,204600,1705,2216.5,0.180000000000015,3410,,,,,,,,
441,DM NVX® 5K 4x1 AV-over-IP Switcher Card with HDMI® and USB-C® Connectivity,6513014,DM-NVX-384C,204600,1705,2216.5,0.180000000000015,3410,,,,,,,,
442,DM NVX® 1080p60 4:4:4 Network AV Decoder,6511647,DM-NVX-D10,52800,440,572,0.180000000000015,880,,,,,,,,
443,DM NVX® 4K60 4:2:0 Network AV Decoder,6511649,DM-NVX-D20,65400,545,708.5,0.180000000000015,1090,,,,,,,,
444,DM NVX® 4K60 4:2:0 Network AV Decoder with Scaler,6511652,DM-NVX-D200,79200,660,858,0.180000000000015,1320,,,,,,,,
445,DM NVX® 4K60 4:4:4 HDR Network AV Decoder,6511507,DM-NVX-D30,94440,787,1023.1,0.180000000000015,1574,,,,,,,,
446,DM NVX® 4K60 4:4:4 HDR Network AV Decoder Card,6509501,DM-NVX-D30C,94440,787,1023.1,0.180000000000015,1574,,,,,,,,
447,"DM NVX Director® Network AV Switching Appliance, 160 Endpoints",6508606,DM-NVX-DIR-160,834960,6958,9045.4,0.180000000000015,13916,,,,,,,,
448,"DM NVX Director® Network AV Switching Appliance, 80 Endpoints",6508605,DM-NVX-DIR-80,417600,3480,4524,0.180000000000015,6960,,,,,,,,
449,"DM NVX Director® Network AV Switching Appliance, 1000 Endpoints",6508607,DM-NVX-DIR-ENT,1452000,12100,15730,0.180000000000015,24200,,,,,,,,
450,DM NVX® 1080p60 4:4:4 Network AV Encoder,6511646,DM-NVX-E10,52800,440,572,0.180000000000015,880,,,,,,,,
451,DM NVX® 4K60 4:2:0 Network AV Encoder,6511648,DM-NVX-E20,65400,545,708.5,0.180000000000015,1090,,,,,,,,
452,"DM NVX® 4K60 4:2:0 Network AV Encoder, Wall Plate, Black Textured",6511650,DM-NVX-E20-2G-B-T,79200,660,858,0.180000000000015,1320,,,,,,,,
453,"DM NVX® 4K60 4:2:0 Network AV Encoder, Wall Plate, White Textured",6511651,DM-NVX-E20-2G-W-T,79200,660,858,0.180000000000015,1320,,,,,,,,
454,DM NVX® 4K60 4:4:4 HDR Network AV Encoder,6511506,DM-NVX-E30,94440,787,1023.1,0.180000000000015,1574,,,,,,,,
455,DM NVX® 4K60 4:4:4 HDR Network AV Encoder Card,6509497,DM-NVX-E30C,94440,787,1023.1,0.180000000000015,1574,,,,,,,,
456,DM NVX® 4K60 4:4:4 HDR Network AV Encoder with DM® Input,6511004,DM-NVX-E760,138000,1150,1495,0.180000000000015,2300,,,,,,,,
457,DM NVX® 4K60 4:4:4 HDR Network AV Encoder Card with DM® Input,6511005,DM-NVX-E760C,138000,1150,1495,0.180000000000015,2300,,,,,,,,
458,"DM NVX® 4K60 Network AV Encoder/Decoder CPU-Based Software, Single Stream",3002223,DM-NVX-SW-C310,59400,495,643.5,0.180000000000015,990,,,,,,,,
459,3-Series® 4K DigitalMedia™ Presentation System 250,6511850,DMPS3-4K-250-C,580800,4840,6292,0.180000000000015,9680,,,,,,,,
460,3-Series® 4K DigitalMedia™ Presentation System 350,6511848,DMPS3-4K-350-C,718800,5990,7787,0.180000000000016,11980,,,,,,,,
461,"16-Port PoDM+ Power Supply for DM 8G+® I/O Cards
 [Limited Supply]",6509493,DM-PSU-16-PLUS,127200,1060,1378,0.180000000000016,2120,,,,,,,,
