Extron pricelist drive link- https://docs.google.com/spreadsheets/d/1V2sjY4C5fK7a3ri32zxymZrhKaiDBU74/edit?usp=drive_link&ouid=115637406728694488059&rtpof=true&sd=true,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
438,Long Distance DVI Twisted Pair Receiver - 330 feet (100 m),60-1360-13,DTP DVI 4K 330 Rx,48480,404,525.2,0.18,,,
439,Long Distance DVI Twisted Pair Transmitter - 330 feet (100 m),60-1360-12,DTP DVI 4K 330 Tx,48480,404,525.2,0.18,,,
440,HDMI to Four Output DTP Twisted Pair Distribution Amplifier - 230 feet (70 m),60-1437-01,DTP HD DA4 4K 230,249480,2079,2702.7,0.18,,,
441,Long Distance HDMI to Four Output DTP Twisted Pair Distribution Amplifier - 330 feet (100 m),60-1437-51,DTP HD DA4 4K 330,285120,2376,3088.8,0.18,,,
442,HDMI to Eight Output DTP Twisted Pair Distribution Amplifier - 230 feet (70 m),60-1438-01,DTP HD DA8 4K 230,279000,2325,3022.5,0.18,,,
443,Long Distance HDMI to Eight Output DTP Twisted Pair Distribution Amplifier - 330 feet (100 m),60-1438-51,DTP HD DA8 4K 330,348600,2905,3776.5,0.18,,,
444,HDMI Twisted Pair Receiver - 230 feet (70 m),60-1271-13,DTP HDMI 4K 230 Rx,43200,360,468,0.18,,,
445,HDMI Twisted Pair Transmitter - 230 feet (70 m),60-1271-12,DTP HDMI 4K 230 Tx,43200,360,468,0.18,,,
446,Long Distance HDMI Twisted Pair Receiver - 330 feet (100 m),60-1331-13,DTP HDMI 4K 330 Rx,49200,410,533,0.18,,,
447,Long Distance HDMI Twisted Pair Transmitter - 330 feet (100 m),60-1331-12,DTP HDMI 4K 330 Tx,49200,410,533,0.18,,,
448,DisplayPort Rx w/EDID Minder – 230 feet (70 m),60-1076-23,DTP R DP 4K 230,49200,410,533,0.18,,,
449,DisplayPort Rx w/EDID Minder – 330 feet (100 m),60-1076-63,DTP R DP 4K 330,58320,486,631.8,0.18,,,
450,"DTP Receiver for HDMI - Decorator-Style Wallplate, Black - 230 feet (70 m)",60-1531-12,DTP R HWP 4K 231 D,62040,517,672.1,0.18,,,
451,"DTP Receiver for HDMI - Decorator-Style Wallplate, White - 230 feet (70 m)",60-1531-13,DTP R HWP 4K 231 D,62040,517,672.1,0.18,,,
452,"Long Distance DTP Receiver for HDMI - Decorator-Style Wallplate, Black - 330 feet (100 m)",60-1531-52,DTP R HWP 4K 331 D,70320,586,761.8,0.18,,,
453,"Long Distance DTP Receiver for HDMI - Decorator-Style Wallplate, White - 330 feet (100 m)",60-1531-53,DTP R HWP 4K 331 D,70320,586,761.8,0.18,,,
454,DisplayPort Twisted Pair Transmitter - 230 feet (70 m),60-1076-12,DTP T DP 4K 230,49200,410,533,0.18,,,
455,Long Distance DisplayPort Twisted Pair Transmitter - 330 feet (100 m),60-1076-52,DTP T DP 4K 330,58320,486,631.8,0.18,,,
456,Three Input Multi-Format Switcher with Integrated DTP Transmitter and Audio Embedding - 230 feet (70 m),60-1487-12,DTP T DSW 4K 233,131640,1097,1426.1,0.18,,,
457,Three Input Multi-Format Switcher with Integrated Long Distance DTP Transmitter and Audio Embedding - 330 feet (100 m),60-1487-52,DTP T DSW 4K 333,139920,1166,1515.8,0.18,,,
458,Two Input DTP Transmitter with Audio Embedding for EU Junction Boxes - 230 feet (70 m),60-1569-12,DTP T EU 232,148200,1235,1605.5,0.18,,,
459,DTP HDMI Transmitter for Flex55 and EU Junction Boxes - 230 feet (70 m),60-1532-12,DTP T EU 4K 231,52200,435,565.5,0.18,,,
460,Long Distance DTP HDMI Transmitter for Flex55 and EU Junction Boxes - 330 feet (100 m),60-1532-52,DTP T EU 4K 331,61320,511,664.3,0.18,,,
461,Two Input DTP Transmitter with Audio Embedding for Floor Boxes - 230 feet (70 m),60-1568-12,DTP T FB 232,148200,1235,1605.5,0.18,,,
462,Long Distance Two Input DTP Transmitter with Audio Embedding for Floor Boxes - 330 feet (100 m),60-1568-52,DTP T FB 332,156600,1305,1696.5,0.18,,,
463,HDMI Twisted Pair Transmitter with Input Loop-Through - 230 feet (70 m),60-1491-12,DTP T HD2 4K 230,70320,586,761.8,0.18,,,
464,Long Distance HDMI Twisted Pair Transmitter with Input Loop-Through - 330 feet (100 m),60-1491-52,DTP T HD2 4K 330,79440,662,860.6,0.18,,,
465,"Two Input DTP Transmitter for HDMI with Audio Embedding - Decorator-Style Wallplate, White - 230 feet (70 m)",60-1365-63,DTP T HWP 232 D,96120,801,1041.3,0.18,,,
466,"DTP Transmitter for HDMI - Decorator-Style Wallplate, Black - 230 feet (70 m)",60-1421-12,DTP T HWP 4K 231 D,52920,441,573.3,0.18,,,
467,"DTP Transmitter for HDMI - Decorator-Style Wallplate, White - 230 feet (70 m)",60-1421-13,DTP T HWP 4K 231 D,52920,441,573.3,0.18,,,
468,"Long Distance DTP Transmitter for HDMI - Decorator-Style Wallplate, Black - 330 feet (100 m)",60-1421-52,DTP T HWP 4K 331 D,62040,517,672.1,0.18,,,
469,"Long Distance DTP Transmitter for HDMI - Decorator-Style Wallplate, White - 330 feet (100 m)",60-1421-53,DTP T HWP 4K 331 D,62040,517,672.1,0.18,,,
470,DTP HDMI Transmitter for Flex55 and MK Junction Boxes - 230 feet (70 m),60-1533-12,DTP T MK 4K 231,52200,435,565.5,0.18,,,
471,Four Input HDMI Switcher with Integrated DTP Transmitter,60-1625-01,DTP T SW4 HD 4K,105120,876,1138.8,0.18,,,
472,Three Input Switcher with Integrated DTP Transmitter and Audio Embedding - 230 feet (70 m),60-1551-12,DTP T USW 233,122520,1021,1327.3,0.18,,,
473,Three Input Switcher with Integrated Long Distance DTP Transmitter and Audio Embedding - 330 feet (100 m),60-1551-52,DTP T USW 333,131640,1097,1426.1,0.18,,,
474,"Two Input DTP Transmitter for HDMI and VGA with Audio Embedding - Decorator-Style Wallplate, Black - 230 feet (70 m)",60-1755-12,DTP T UWP 4K 232 D,96840,807,1049.1,0.18,,,
475,"Two Input DTP Transmitter for HDMI and VGA with Audio Embedding - Decorator-Style Wallplate, White - 230 feet (70 m)",60-1755-13,DTP T UWP 4K 232 D,96840,807,1049.1,0.18,,,
476,"Long Distance Two Input DTP Transmitter for HDMI and VGA with Audio Embedding - Decorator-Style Wallplate, Black - 330 feet (100 m)",60-1755-52,DTP T UWP 4K 332 D,105120,876,1138.8,0.18,,,
477,"Long Distance Two Input DTP Transmitter for HDMI and VGA with Audio Embedding - Decorator-Style Wallplate, White - 330 feet (100 m)",60-1755-53,DTP T UWP 4K 332 D,105120,876,1138.8,0.18,,,
478,Standard Model,60-1812-01,DTP2 CrossPoint 82,578400,4820,6266,0.18,,,
479,Control Processor and Mono Amp,60-1812-93,DTP2 CrossPoint 82 IPCP Q MA 70,716760,5973,7764.9,0.18,,,
480,"Control Processor and Mono Amp, LL UI Upgrade",60-1812-93A,DTP2 CrossPoint 82 IPCP Q MA 70,821040,6842,8894.6,0.18,,,
481,Control Processor and Stereo Amp,60-1812-92,DTP2 CrossPoint 82 IPCP Q SA,716760,5973,7764.9,0.18,,,
482,"Control Processor and Stereo Amp, LL UI Upgrade",60-1812-92A,DTP2 CrossPoint 82 IPCP Q SA,821040,6842,8894.6,0.18,,,
483,HDMI 4K/60 DTP2 Receiver with Audio De-Embedding,60-1631-63,DTP2 R 211,66600,555,721.5,0.18,,,
484,HDMI 4K/60 DTP2 Receiver and Switcher with Audio De-Embedding,60-1588-52,DTP2 R 212,156600,1305,1696.5,0.18,,,
485,Two Input 4K/60 DTP2 Transmitter for Floor Boxes,60-1586-52,DTP2 T 202 FB,173880,1449,1883.7,0.18,,,
486,Three Input 4K/60 Switcher with Integrated DTP2 Transmitter,60-1659-52,DTP2 T 203,156600,1305,1696.5,0.18,,,
487,Four Input 4K/60 HDMI Switcher with Integrated DTP2 Transmitter,60-1626-52,DTP2 T 204,121800,1015,1319.5,0.18,,,
488,HDMI 4K/60 DTP2 Transmitter with Audio Embedding,60-1631-62,DTP2 T 211,65880,549,713.7,0.18,,,
489,Two Input 4K/60 HDMI Switcher with Integrated DTP2 Transmitter and HDMI Output,60-1587-52,DTP2 T 212,156600,1305,1696.5,0.18,,,
490,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Standard Model",60-1570-01,DTP3 CrossPoint 622,906480,7554,9820.2,0.18,,,
491,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor and Amplifier",60-1570-12,DTP3 CrossPoint 622 IPCP A,1057680,8814,11458.2,0.18,,,
492,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor and Amplifier, LL UI Upgrade",60-1570-12A,DTP3 CrossPoint 622 IPCP A LL,1162080,9684,12589.2,0.18,,,
493,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor, Amplifier and ShareLink",60-1570-13,DTP3 CrossPoint 622 IPCP A SL,1238400,10320,13416,0.18,,,
494,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor, Amplifier and ShareLink, LL UI Upgrade",60-1570-13A,DTP3 CrossPoint 622 IPCP A SL LL,1342680,11189,14545.7,0.18,,,
495,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Standard Model",60-1661-01,DTP3 CrossPoint 642,1057680,8814,11458.2,0.18,,,
496,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor and Amplifier",60-1661-12,DTP3 CrossPoint 642 IPCP A,1208880,10074,13096.2,0.18,,,
497,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor and Amplifier, LL UI Upgrade",60-1661-12A,DTP3 CrossPoint 642 IPCP A LL,1313280,10944,14227.2,0.18,,,
498,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor, Amplifier and ShareLink",60-1661-13,DTP3 CrossPoint 642 IPCP A SL,1389600,11580,15054,0.18,,,
499,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor, Amplifier and ShareLink, LL UI Upgrade",60-1661-13A,DTP3 CrossPoint 642 IPCP A SL LL,1493880,12449,16183.7,0.18,,,
500,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Standard Model",60-1694-01,DTP3 CrossPoint 662,1208880,10074,13096.2,0.18,,,
501,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor and Amplifier",60-1694-12,DTP3 CrossPoint 662 IPCP A,1360080,11334,14734.2,0.18,,,
502,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor and Amplifier, LL UI Upgrade",60-1694-12A,DTP3 CrossPoint 662 IPCP A LL,1464480,12204,15865.2,0.18,,,
503,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor, Amplifier and ShareLink",60-1694-13,DTP3 CrossPoint 662 IPCP A SL,1540800,12840,16692,0.18,,,
504,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor, Amplifier and ShareLink, LL UI Upgrade",60-1694-13A,DTP3 CrossPoint 662 IPCP A SL LL,1645080,13709,17821.7,0.18,,,
505,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Standard Model",60-1696-01,DTP3 CrossPoint 884,1662480,13854,18010.2,0.18,,,
506,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor and Amplifier",60-1696-12,DTP3 CrossPoint 884 IPCP A,1813680,15114,19648.2,0.18,,,
507,"4K/60 Presentation Matrix Switcher with Reversible DTP3 I/O, Control Processor and Amplifier, LL UI Upgrade",60-1696-12A,DTP3 CrossPoint 884 IPCP A LL,1918080,15984,20779.2,0.18,,,
508,"Four Input 4K/60 Scaler, DTP3 I/O",60-1962-03,DTP3 IN2004 DI/DO,331200,2760,3588,0.18,,,
509,Four Input 4K/60 Seamless Scaling Switcher,60-1962-02,DTP3 IN2004 DO,296400,2470,3211,0.18,,,
510,4K/60 HDMI DTP3 Receiver with Audio De-Embedding,60-1869-63,DTP3 R 201,74880,624,811.2,0.18,,,
511,DTP3 Receiver for 4K/60 HDMI and USB Data,60-1773-53,DTP3 R 301,135360,1128,1466.4,0.18,,,
512,"4K/60 DTP3 Transmitter for HDMI – Decorator-Style Wallplate, Black",60-1902-52,DTP3 T 101 D,97560,813,1056.9,0.18,,,
513,"4K/60 DTP3 Transmitter for HDMI – Decorator-Style Wallplate, White",60-1902-53,DTP3 T 101 D,97560,813,1056.9,0.18,,,
514,4K/60 HDMI DTP3 Transmitter with Input Loop-Through and Audio Embedding,60-1869-62,DTP3 T 202,87000,725,942.5,0.18,,,
515,Two Input DTP3 Transmitter for Flex55 and EU/MK Junction Boxes,60-1829-52,DTP3 T 202 EU/MK,127800,1065,1384.5,0.18,,,
516,Three Input 4K/60 Switcher with Integrated DTP3 Transmitter,60-1885-52,DTP3 T 203,165600,1380,1794,0.18,,,
517,"Two Input 4K/60 DTP3 Transmitter for USB-C and HDMI with Audio Embedding – Decorator-Style Wallplate, Black",60-1714-52,DTP3 T 212 D,120240,1002,1302.6,0.18,,,
518,"Two Input 4K/60 DTP3 Transmitter for USB-C and HDMI with Audio Embedding – Decorator-Style Wallplate, White",60-1714-53,DTP3 T 212 D,120240,1002,1302.6,0.18,,,
519,DTP3 Transmitter for 4K/60 HDMI and USB Data,60-1773-52,DTP3 T 301,127800,1065,1384.5,0.18,,,
520,Two JP AC Outlet – Double Space AAP – Black,60-1754-02,Dual JP AC AAP,19080,159,206.7,0.18,,,
521,Two US AC Outlets – Double Space AAP – Black,60-1936-02,Dual US AC AAP,19080,159,206.7,0.18,,,
522,Two US Edison Style AC Outlet – Double Space AAP – Black,60-1596-02,Dual US AC w Conduit,27360,228,296.4,0.18,,,
523,RGB to HDMI Convertor with Audio Embedding,60-1614-01,DVC RGB-HD A,43920,366,475.8,0.18,,,
524,DVI Fiber Optic Extender,60-977-01,DVI 104 Tx/Rx,88440,737,958.1,0.18,,,
525,Two Output DVI,60-886-02,DVI DA2,36360,303,393.9,0.18,,,
526,Four Output DVI,60-922-01,DVI DA4,55440,462,600.6,0.18,,,
527,Four Output with EDID Minder®,60-931-21,DVI DA4 Plus,66240,552,717.6,0.18,,,
528,Dual Link DVI Male to Male - 12' (3.6 m),26-651-12,DVID DL Pro/12,11160,93,120.9,0.18,,,
529,Dual Link DVI Male to Male - 35' (10.6 m),26-651-35,DVID DL Pro/35,26760,223,289.9,0.18,,,
530,Dual Link DVI Male to Male - 6' (1.8 m),26-651-06,DVID DL Pro/6,6000,50,65,0.18,,,
531,Dual Link DVI Male to Male - 75' (22.8 m),26-651-75,DVID DL Pro/75,51600,430,559,0.18,,,
532,DVI Cable: Single Link DVI-D Male to Male - 200' (60.9 m),26-649-200,DVID SL Pro/200,87840,732,951.6,0.18,,,
533,DVI Cable: Single Link DVI-D Male to Male - 35' (10.6 m),26-649-35,DVID SL Pro/35,20400,170,221,0.18,,,
534,DVI Cable: Single Link DVI-D Male to Male - 75' (22.8 m),26-649-75,DVID SL Pro/75,38160,318,413.4,0.18,,,
535,DVI Ultra Cable: Single Link DVI-D Male to Male -12' (3.6 m),26-662-12,DVID SL Ultra/12,6720,56,72.8,0.18,,,
536,DVI Ultra Cable: Single Link DVI-D Male to Male - 3' (90 cm),26-662-03,DVID SL Ultra/3,4680,39,50.7,0.18,,,
537,DVI Ultra Cable: Single Link DVI-D Male to Male - 6' (1.8 m),26-662-06,DVID SL Ultra/6,5280,44,57.2,0.18,,,
538,DVI-I Female to DVI-D Male Adapter,26-538-01,DVIIF-DVIDM,2400,20,26,0.18,,,
539,Five Input HDCP-Compliant Scaler with Seamless Switching,60-1059-01,DVS 605,279000,2325,3022.5,0.18,,,
540,Five Input HDCP-Compliant Scaler with Seamless Switching and Audio plus 3G-SDI/HD-SDI Output,60-1059-04,DVS 605 AD,384120,3201,4161.3,0.18,,,
541,"One-gang, black",70-1161-12,DWP 101,3000,25,32.5,0.18,,,
542,"One-gang, white",70-1161-13,DWP 101,3000,25,32.5,0.18,,,
543,"Two-gang, black",70-1161-22,DWP 102,3720,31,40.3,0.18,,,
544,"Two-gang, white",70-1161-23,DWP 102,3720,31,40.3,0.18,,,
545,"Three-gang, black",70-1161-32,DWP 103,4680,39,50.7,0.18,,,
546,"Three-gang, white",70-1161-33,DWP 103,4680,39,50.7,0.18,,,
547,16x16 4K/60 HDMI with 4 Audio Outputs,60-1497-21,DXP 1616 HD 4K PLUS,1396440,11637,15128.1,0.18,,,
548,16x8 4K/60 HDMI with 4 Audio Outputs,60-1496-21,DXP 168 HD 4K PLUS,1134840,9457,12294.1,0.18,,,
549,4x2 4K/60 HDMI with 2 Audio Outputs,60-1678-01,DXP 42 HD 4K PLUS,121800,1015,1319.5,0.18,,,
550,4x4 4K/60 HDMI with 2 Audio Outputs,60-1493-21,DXP 44 HD 4K PLUS,359160,2993,3890.9,0.18,,,
551,8x4 4K/60 HDMI with 2 Audio Outputs,60-1494-21,DXP 84 HD 4K PLUS,446040,3717,4832.1,0.18,,,
552,8x8 4K/60 HDMI with 2 Audio Outputs,60-1495-21,DXP 88 HD 4K PLUS,533760,4448,5782.4,0.18,,,
553,eBUS® Distribution Hub,60-1170-01,EBDB,22680,189,245.7,0.18,,,
554,eBUS Button Panel with 6 Buttons - US 2-Gang,60-1388-01,EBP 100,40080,334,434.2,0.18,,,
555,eBUS Button Panel with 4 Buttons - Flex55 and EU,60-1672-31,EBP 104 EU,31800,265,344.5,0.18,,,
556,eBUS Button Panel with 6 Buttons - Flex55 and EU,60-1084-31,EBP 106 EU,31800,265,344.5,0.18,,,
557,eBUS Button Panel with 8 Buttons - Flex55 and EU,60-1189-31,EBP 108 EU,31800,265,344.5,0.18,,,
558,eBUS Button Panel with 10 Buttons - MK,60-1190-23,EBP 110 MK,31800,265,344.5,0.18,,,
559,Cable Cubby eBUS Button Panel - Black,60-1632-02,EBP 1200C,87000,725,942.5,0.18,,,
560,eBUS Button Panel with 10 Buttons - US 3-Gang,60-1389-01,EBP 200,48480,404,525.2,0.18,,,
561,eBUS Button Panel with 6 Buttons - US Single-Gang,60-1670-01,EBP 50,34800,290,377,0.18,,,
562,eBUS Button Panel with Transport Control - Decorator-Style Wallplate,60-1086-01,EBP NAV D,31800,265,344.5,0.18,,,
563,eBUS Button Panel with Volume Control - Flex55 and EU,60-1184-31,EBP VC1 EU,31800,265,344.5,0.18,,,
564,eBUS Partition Sensor,60-1705-03,ECM S10,83160,693,900.9,0.18,,,
565,EDID Emulator with EDID Minder® for DVI,60-990-01,EDID 101D,22320,186,241.8,0.18,,,
566,EDID Emulator with EDID Minder® for VGA,60-991-01,EDID 101V,20400,170,221,0.18,,,
567,4K/60 HDMI EDID Emulator with EDID Minder® Plus,60-1680-02,EDID 111H 4K PLUS,42000,350,455,0.18,,,
568,Wireless Receiver for HDMI (AUS),60-1490-23,eLink 100 R AUS,49080,409,531.7,0.18,,,
569,Wireless Receiver for HDMI (EU),60-1490-13,eLink 100 R EU,49080,409,531.7,0.18,,,
570,Wireless Receiver for HDMI (US),60-1490-03,eLink 100 R US,49080,409,531.7,0.18,,,
571,Wireless Transmitter for HDMI (AUS),60-1490-22,eLink 100 T AUS,45240,377,490.1,0.18,,,
572,Wireless Transmitter for HDMI (EU),60-1490-12,eLink 100 T EU,45240,377,490.1,0.18,,,
573,Wireless Transmitter for HDMI (US),60-1490-02,eLink 100 T US,45240,377,490.1,0.18,,,
574,One US gang external wall box: black,60-1161-02,EWB 101,5280,44,57.2,0.18,,,
575,One US gang external wall box: white,60-1161-03,EWB 101,5280,44,57.2,0.18,,,
576,Two US gang external wall box: black,60-1162-02,EWB 102,5280,44,57.2,0.18,,,
577,Two US gang external wall box: white,60-1162-03,EWB 102,5280,44,57.2,0.18,,,
578,Three US gang external wall box: black,60-1163-02,EWB 103,6000,50,65,0.18,,,
579,Three US gang external wall box: white,60-1163-03,EWB 103,6000,50,65,0.18,,,
580,Four US gang external wall box: black,60-1164-02,EWB 104,6720,56,72.8,0.18,,,
581,Four US gang external wall box: white,60-1164-03,EWB 104,6720,56,72.8,0.18,,,
582,Five US gang external wall box: black,60-1165-02,EWB 105,7560,63,81.9,0.18,,,
583,Five US gang external wall box: white,60-1165-03,EWB 105,7560,63,81.9,0.18,,,
584,US two-gang external wall box: White,70-1252-23,EWB 112,5280,44,57.2,0.18,,,
585,One-gang External Wall Box for Flex55 and EU Products; White,70-1131-11,EWB 211,4680,39,50.7,0.18,,,
586,Two-gang External Wall Box for Flex55 and EU Products; White,70-1131-12,EWB 212,6000,50,65,0.18,,,
587,Three-gang External Wall Box for Flex55 and EU Products; White,70-1131-13,EWB 213,7560,63,81.9,0.18,,,
588,"Full-Range Flat Field® Speakers with 1' x 2' Low Profile Enclosure and 70/100 V Transformer, Pair",42-120-13,FF 120T,33720,281,365.3,0.18,,,
589,"Full-Range Flat Field® Speakers with 2' x 2' Low Profile Enclosure and 70/100 V Transformer, Pair",42-141-03,FF 220T,38160,318,413.4,0.18,,,
590,"Full-Range Flat Field® Speakers with 600 x 600 mm Low Profile Enclosure and 70/100V Transformer, Pair",42-141-23,FF 220T,38160,318,413.4,0.18,,,
591,One-gang Mounting Kit for Flex55 and European Junction Boxes - Black,70-1155-12,Flex55 101,3000,25,32.5,0.18,,,
592,One-gang Mounting Kit for Flex55 and European Junction Boxes - White,70-1155-13,Flex55 101,3120,26,33.8,0.18,,,
593,Two-gang Mounting Kit for Flex55 and European Junction Boxes - Black,70-1155-22,Flex55 102,3720,31,40.3,0.18,,,
594,Two-gang Mounting Kit for Flex55 and European Junction Boxes - White,70-1155-23,Flex55 102,3720,31,40.3,0.18,,,
595,Three-gang Mounting Kit for Flex55 and European Junction Boxes - Black,70-1155-32,Flex55 103,4680,39,50.7,0.18,,,
596,Three-gang Mounting Kit for Flex55 and European Junction Boxes - White,70-1155-33,Flex55 103,4680,39,50.7,0.18,,,
597,Four-gang Mounting Kit for Flex55 and European Junction Boxes - Black,70-1155-42,Flex55 104,5280,44,57.2,0.18,,,
598,Four-gang Mounting Kit for Flex55 and European Junction Boxes - White,70-1155-43,Flex55 104,5280,44,57.2,0.18,,,
599,Two-gang Mounting Kit for Flex55 and European Junction Boxes - Black,70-1342-22,Flex55 112,3720,31,40.3,0.18,,,
600,"Two-gang, Single-opening Mounting Kit for Flex55 and European Junction Boxes - White",70-1342-23,Flex55 112,3720,31,40.3,0.18,,,
601,"AC Module, Australia: Black",60-1692-52,Flex55 AC 101 AUS,8160,68,88.4,0.18,,,
602,"AC Module, Central Europe: Black",60-1692-22,Flex55 AC 101 EU,8160,68,88.4,0.18,,,
603,"AC Module, Central Europe: White",60-1692-23,Flex55 AC 101 EU,8160,68,88.4,0.18,,,
604,"AC Module, Multi-Region: Black",60-1692-12,Flex55 AC 101 MULTI,8160,68,88.4,0.18,,,
605,"AC Module, Multi-Region: White",60-1692-13,Flex55 AC 101 MULTI,8160,68,88.4,0.18,,,
606,"AC Module, Swiss: Black",60-1692-42,Flex55 AC 101 SW,9000,75,97.5,0.18,,,
607,"AC Module, UK: Black",60-1692-32,Flex55 AC 101 UK,9000,75,97.5,0.18,,,
608,"AC Module, US: Black",60-1692-02,Flex55 AC 101 US,8160,68,88.4,0.18,,,
609,"AC Module, US: White",60-1692-03,Flex55 AC 101 US,8160,68,88.4,0.18,,,
610,"US Outlet, USB Type-A and USB Type-C Module; Black",60-1945-02,Flex55 AC+USB 130 US,26160,218,283.4,0.18,,,
611,"US Outlet, USB Type-A and USB Type-C Module; White",60-1945-03,Flex55 AC+USB 130 US,26160,218,283.4,0.18,,,
612,Black: HDMI and Audio,70-1143-52,Flex55 SuperPlate 150,8160,68,88.4,0.18,,,
613,White: HDMI and Audio,70-1143-53,Flex55 SuperPlate 150,8160,68,88.4,0.18,,,
614,"Black; HDMI, USB 2, and USB-C",70-1143-72,Flex55 SuperPlate 170,14040,117,152.1,0.18,,,
615,"White: HDMI, USB 2, and USB-C",70-1143-73,Flex55 SuperPlate 170,14040,117,152.1,0.18,,,
616,"Black: HDMI, USB 3, and USB-C",70-1239-72,Flex55 SuperPlate 173,14040,117,152.1,0.18,,,
617,"White: HDMI, USB 3, and USB-C",70-1239-73,Flex55 SuperPlate 173,14040,117,152.1,0.18,,,
618,"One USB-C® & One USB-A, Black",60-1786-02,Flex55 USB 311 PowerPlate,29280,244,317.2,0.18,,,
619,"One USB-C & One USB-A, White",60-1786-03,Flex55 USB 311 PowerPlate,29280,244,317.2,0.18,,,
620,"Two USB Outlets, Black",60-1693-02,Flex55 USB PowerPlate 102,14040,117,152.1,0.18,,,
621,"Two USB Outlets, White",60-1693-03,Flex55 USB PowerPlate 102,14040,117,152.1,0.18,,,
622,Conduit Kit for Hard Wired Electrical Environments,70-228-02,Flexible Conduit Adapter Kit,8160,68,88.4,0.18,,,
623,"Full Rack Width, 2U Flex55 and EU Mounting Kit - Black",70-1187-01,FMR 206,11880,99,128.7,0.18,,,
624,Triple Space AAP - Black: Four RJ-45 Female to Female Barrels - CAT 5e,70-452-11,Four RJ-45 Female to Female Barrels - CAT 5e,8160,68,88.4,0.18,,,
625,"Extender for DisplayPort, Multi-Channel Audio, and RS-232",60-1462-21,FOX II R DP 4K MM,393120,3276,4258.8,0.18,,,
626,"Extender for DisplayPort, Multi-Channel Audio, and RS-232",60-1462-22,FOX II R DP 4K SM,488400,4070,5291,0.18,,,
627,"Extender for DisplayPort, Multi-Channel Audio, and RS-232",60-1462-11,FOX II T DP 4K MM,393120,3276,4258.8,0.18,,,
628,"Extender for DisplayPort, Multi-Channel Audio, and RS-232",60-1462-12,FOX II T DP 4K SM,488400,4070,5291,0.18,,,
629,"Extender for HDMI, Multi-Channel Audio, and RS-232",60-1351-11,FOX II T HD 4K MM,393120,3276,4258.8,0.18,,,
630,"Extender for HDMI, Multi-Channel Audio, and RS-232",60-1351-12,FOX II T HD 4K SM,488400,4070,5291,0.18,,,
631,Fiber Optic Receiver for USB - Multimode,60-1526-21,FOX R USB Extender Plus HID MM,88440,737,958.1,0.18,,,
632,Fiber Optic Receiver for USB - Singlemode,60-1526-22,FOX R USB Extender Plus HID SM,110760,923,1199.9,0.18,,,
633,Fiber Optic Receiver for USB - Multimode,60-1474-21,FOX R USB Extender Plus MM,78240,652,847.6,0.18,,,
634,Fiber Optic Receiver for USB - Singlemode,60-1474-22,FOX R USB Extender Plus SM,96120,801,1041.3,0.18,,,
635,"Fiber Optic Receiver for Video, Audio, and RS-232 - 850 nm Multimode",60-941-21,FOX Rx AV MM,113400,945,1228.5,0.18,,,
636,"Fiber Optic Receiver for Video, Audio, and RS-232 - 1310 nm Singlemode",60-941-22,FOX Rx AV SM,139200,1160,1508,0.18,,,
637,Fiber Optic Transmitter for USB - Multimode,60-1526-11,FOX T USB Extender Plus HID MM,88440,737,958.1,0.18,,,
638,Fiber Optic Transmitter for USB - Singlemode,60-1526-12,FOX T USB Extender Plus HID SM,110760,923,1199.9,0.18,,,
639,Fiber Optic Transmitter for USB - Multimode,60-1474-11,FOX T USB Extender Plus MM,78240,652,847.6,0.18,,,
640,Fiber Optic Transmitter for USB - Singlemode,60-1474-12,FOX T USB Extender Plus SM,96120,801,1041.3,0.18,,,
641,"Three Input Transmitter for HDMI, VGA, Audio, and RS-232 with Local HDMI Output - Multimode",60-1230-11,FOX T USW 203 MM,279000,2325,3022.5,0.18,,,
642,"Three Input Transmitter for HDMI, VGA, Audio, and RS-232 with Local HDMI Output - Singlemode",60-1230-12,FOX T USW 203 SM,348600,2905,3776.5,0.18,,,
643,Lossless 4K/60 Receiver - Multimode,60-1957-21,FOX3 R 101 MM,173880,1449,1883.7,0.18,,,
